pH,SpConduct,DissOxy,RoadsPct,IndPct,UrbanPct,DevPct,WellClass,Aquifier,Depth,SafeYld,Distance,MTBE-Detect,MTBE-Level,HouseDen,PopDen
8.48,299.7,0.1,1.39,0,20.77,20.77,Private,Bedrock,137.16,,4326.18,Below Limit,0.2,77.37,28.13
7.07,418.4,2.95,3,0,36.38,36.38,Private,Bedrock,43.2816,,1748.02,Below Limit,0.2,99.49,33.16
7.87,209.3,3.29,0.81,0,7.29,15.61,Private,Bedrock,103.632,,1643.68,Detect,0.31,18.76,7.25
9.46,238.3,7.76,0.72,0,6.75,6.75,Private,Bedrock,129.2352,,3060.33,Below Limit,0.2,23.52,7.13
8.66,425.7,1,2.9,0,41.36,41.36,Private,Bedrock,,,1891.51,Below Limit,0.2,51.7,19.19
7.87,528.5,2.21,3.56,0,81.13,96.04,Private,Bedrock,76.2,,1714.4,Detect,0.97,269.57,88.06
7.13,542.6,2.73,0.92,0,14.69,19.32,Private,Bedrock,60.96,,1980.28,Below Limit,0.2,168.77,71.34
8.08,574.8,0.72,2.58,2.46,33.48,37.27,Private,Bedrock,,,495.66,Below Limit,0.2,234.92,113.41
8.07,344.2,0.55,3.65,0,70.84,71.97,Private,Bedrock,48.768,,1067.79,Detect,1.71,392.65,127.03
6.56,199.1,2.06,4.73,2.25,93.42,93.42,Private,Bedrock,,,1312.44,Below Limit,0.2,1025.48,384.56
7.73,386.1,2.29,0.62,0,8.81,14.04,Private,Bedrock,92.3544,,3649.14,Below Limit,0.2,66.29,21.64
7.89,1807,0.44,2.17,2.26,38.95,51,Private,Bedrock,110.0328,,1632.66,Below Limit,0.2,22.61,8.41
8.52,162,0.24,1.07,0,17.2,31.89,Private,Bedrock,98.4504,,2378.3,Below Limit,0.2,66.29,21.64
6.7,402.8,4,1.3,0,24.52,24.52,Private,Bedrock,,,1582.48,Below Limit,0.2,437.77,116.43
7.29,577.1,2.46,1.09,0,20,20,Private,Bedrock,,,1590.87,Below Limit,0.2,71.58,20.21
6.67,615.3,2.38,4.18,0,68.59,68.59,Private,Bedrock,,,2552.87,Detect,0.26,405.37,127.06
9.19,203,2.67,0.49,0,3.75,3.75,Private,Bedrock,182.88,,2685.3,Detect,2.67,45.67,15.44
6.77,191,0.68,1.85,0,10.92,10.92,Private,Bedrock,,,4671.88,Below Limit,0.2,36.95,17.24
8.1,165,0.42,3.08,0,63.59,66.62,Private,Bedrock,,,2277.12,Below Limit,0.2,204.43,63.7
7.97,225,0.33,2.26,4.41,40.29,55.52,Private,Bedrock,153.924,,1584.78,Below Limit,0.2,120.1,51.99
8.21,153.9,1.83,2.09,0.24,47.55,65.61,Private,Bedrock,68.58,,2154.46,Below Limit,0.2,204.43,63.7
8.32,240.8,0.93,1.87,0,35.02,35.02,Private,Bedrock,137.16,,3438.3,Below Limit,0.2,245.17,75.5
8.3,277.4,0.5,2.02,5.87,17.98,29.35,Private,Bedrock,,,1542.17,Below Limit,0.2,83.45,31.29
9.48,409.7,0.25,3.3,1.16,23.92,30.79,Private,Bedrock,121.92,,296.95,Detect,0.33,39.56,32.62
7.19,419.6,2.14,1.76,0,34.12,34.12,Private,Bedrock,76.2,,1348.52,Below Limit,0.2,96.41,29.29
7.06,138.7,4.88,0.88,0,8.51,11.14,Private,Bedrock,54.864,,582.1,Below Limit,0.2,48.72,18.56
5.58,865.2,2.86,1.97,0.56,17.49,25.99,Private,Bedrock,47.244,,384.69,Below Limit,0.2,23.52,7.13
8.33,201.5,0.18,3.1,0,36.42,36.42,Private,Bedrock,153.924,,898.79,Below Limit,0.2,274.72,82.64
7.24,693,0.39,1.93,0,27.48,27.48,Private,Bedrock,115.824,,2167.92,Detect,0.24,169.69,56.16
8.36,272.1,0.31,2.68,2.66,40.91,45.08,Private,Bedrock,159.4104,,200.47,Below Limit,0.2,290.94,100.82
8.34,178,1.69,2.58,0,48.91,48.91,Private,Bedrock,254.508,,2806.03,Below Limit,0.2,215.46,70.79
7.97,231.9,0.8,2.08,0,33.77,34.54,Private,Bedrock,,,2530.6,Below Limit,0.2,428.05,115.74
7.7,341.1,1.02,2.65,0,45.31,45.31,Private,Bedrock,111.252,,4902.19,Detect,0.93,298.13,91.09
5.62,883.7,3.13,3.07,1.92,44.01,50.34,Private,Bedrock,,,1319.92,Detect,0.34,335,100.24
6.66,1472,3.61,2.95,5.1,42.34,49.68,Private,Bedrock,67.056,,972.24,Detect,0.37,335,100.24
5.94,216.9,7.86,2.2,0,24.64,25.42,Private,Bedrock,36.2712,,1129.44,Below Limit,0.2,169.54,73.32
8.02,164.1,5.78,0.14,0,4.63,4.63,Private,Bedrock,114.3,,1519.17,Below Limit,0.2,51.08,17.77
7.37,338.6,5.25,1.7,0,21.59,57.54,Private,Bedrock,30.48,,2527.29,Below Limit,0.2,70.13,36.36
5.83,454.5,5.98,1.62,0,7.83,19.92,Private,Bedrock,91.44,,3249.34,Below Limit,0.2,32.37,22.37
7.12,180.8,4.59,1.76,0,28.22,28.22,Private,Bedrock,174.9552,,1849.1,Below Limit,0.2,39.92,12.22
6.65,362.6,3.88,1.52,0,20.92,21.22,Private,Bedrock,,,1214.51,Below Limit,0.2,439.55,109.89
6.26,1130,6.99,4.2,1.37,47.01,47.01,Private,Bedrock,103.632,,1579.3,Below Limit,0.2,431.12,130.34
6.42,622.3,6.98,0.76,0,11.45,16.78,Private,Bedrock,53.34,,4467.88,Below Limit,0.2,34.01,11.51
6.06,886.6,1,2.64,0,11.19,11.19,Private,Bedrock,92.6592,,1728,Below Limit,0.2,97.78,37.61
6.43,466.2,2.18,2.43,0,44.33,44.33,Private,Bedrock,91.44,,2757.15,Below Limit,0.2,273.4,83.5
7.45,265.7,4.85,3.79,0,58.72,58.72,Private,Bedrock,245.364,,951.09,Below Limit,0.2,54.85,19.51
8.16,161.9,0.4,2.98,0,39.37,39.37,Private,Bedrock,,,1351.95,Below Limit,0.2,54.85,19.51
7.31,227.3,1.56,2.4,0,42.33,42.34,Private,Bedrock,,,1266.05,Below Limit,0.2,43.58,16.34
7.59,11.36,1.02,1.28,0,22.78,28.49,Private,Bedrock,91.44,,2624.08,Below Limit,0.2,108.81,40.99
7.51,410.3,0.49,2.14,0,35.02,35.02,Private,Bedrock,,,1441.05,Detect,1.16,166.13,52.08
7.13,536.6,0.4,4.8,2.15,56.99,56.99,Private,Bedrock,91.44,,2407.7,Detect,1.6,215.44,77.05
8.09,465.1,0.43,4.9,2.91,36.32,54.99,Private,Bedrock,121.92,,747.75,Below Limit,0.2,138.12,58.57
8.33,1231,0.44,0.97,1.1,12.7,50.78,Private,Bedrock,121.92,,1179.23,Below Limit,0.2,84.25,30.76
7.4,220.6,1.36,2.26,4.9,40.16,52.01,Private,Bedrock,73.152,,754.58,Below Limit,0.2,203.29,83.16
5.66,473.2,4.98,1,0,15.28,15.57,Private,Bedrock,51.816,,2694.44,Below Limit,0.2,138.05,43.92
8.36,277.9,0.27,3.24,0,34.11,36.18,Private,Bedrock,36.576,,3322.18,Detect,0.33,590,162.25
7.64,201,4.44,0.8,1,7.88,7.88,Private,Bedrock,152.4,,2224.19,Below Limit,0.2,20.79,6.8
8.39,236.7,0.56,0.86,0,24,38.13,Private,Bedrock,128.3208,,2682.48,Below Limit,0.2,43.85,15.58
5.91,387.8,6.72,4.56,0,44.22,44.22,Private,Bedrock,38.1,,2944.24,Detect,3.86,741.85,209.24
8.26,204.6,2.7,1.93,0,31.34,35,Private,Bedrock,243.84,,1522.78,Detect,0.31,57.86,19.02
6.18,190.3,4.17,0.85,0,12.4,25.56,Private,Bedrock,159.4104,,5180.58,Below Limit,0.2,3.09,1.33
6.72,280.4,0.78,0.81,0,7.63,7.63,Private,Bedrock,85.344,,3458.03,Below Limit,0.2,20.12,7.04
8.22,175.9,1.32,0.48,0,5.59,5.59,Private,Bedrock,128.9304,,2762.89,Below Limit,0.2,20.12,7.04
7.97,331.7,0.44,0,0,0,0,Private,Bedrock,,,365.9,Below Limit,0.2,,
6.59,265.1,6.29,2.58,0.59,23.43,23.43,Private,Bedrock,18.8976,,784.06,Below Limit,0.2,42.1,14.52
8.24,694.3,3.27,3.5,0,49.35,49.35,Private,Bedrock,91.44,,1711.46,Detect,0.39,174.77,85.67
7.15,545.7,0.11,1,0,16.09,19.34,Private,Bedrock,,,3181.14,Detect,0.48,30.89,10.59
7.43,165.1,1.68,2.26,0,27.31,31.68,Private,Bedrock,79.248,,3094.32,Below Limit,0.2,40.94,13.82
7.87,199.2,0.24,1.99,3.56,33.22,33.22,Private,Bedrock,45.72,,687.07,Below Limit,0.2,417.65,159.69
8.11,227.9,0.23,0.76,0,15.18,15.18,Private,Bedrock,45.72,,1082.94,Below Limit,0.2,8.17,4.22
8.22,135.4,0.44,1.86,0,43.71,43.71,Private,Bedrock,88.392,,1832.5,Below Limit,0.2,206.68,77.74
7.61,608.1,0.61,2.05,0,38.58,38.58,Private,Bedrock,121.92,,2685.91,Below Limit,0.2,62.87,29.94
6.68,93.5,4.39,1.83,0,20.73,21.68,Private,Bedrock,30.48,,2772.19,Below Limit,0.2,233.8,66.8
7.52,265.2,0.46,3.14,0,31.15,31.15,Private,Bedrock,47.244,,831.1,Below Limit,0.2,113.98,48.5
7.43,663.2,0.56,2.26,0,27.42,27.42,Public,Unconsoli,15.24,1514.00454,1142.56,Detect,0.25,17.71,7.38
7.76,919.3,6.63,10.62,22.41,72.02,72.71,Public,Unconsoli,15.24,1324.75397,274.61,Below Limit,0.2,132.22,46.2
7.01,409.9,5.94,1.58,0.84,20.88,20.88,Public,Unconsoli,19.2024,1052.23316,775.4,Below Limit,0.2,92.24,33.89
6.55,248.6,7.07,2.09,1.34,40.59,49.97,Public,Unconsoli,15.24,946.252839,685.17,Below Limit,0.2,375.34,114.84
7.91,223,10.6,4.1,6.54,43.08,43.08,Public,Unconsoli,14.6304,946.252839,3192.79,Below Limit,0.2,77.01,34.23
7.51,428.5,7.94,1.95,0,35.42,51.9,Public,Unconsoli,24.9936,946.252839,2440.35,Detect,1.06,146.11,52.56
7.7,558.1,1.43,1.92,0,8.24,22.54,Public,Unconsoli,18.288,757.002271,2573.78,Below Limit,0.2,63.76,20.5
6.1,188.2,0.74,0.7,3.52,5.4,14.01,Public,Unconsoli,,757.002271,804.76,Below Limit,0.2,53.03,22.27
6.57,460.4,1.26,0.54,0,6.84,67.8,Public,Unconsoli,15.24,567.751703,3009.59,Below Limit,0.2,24.47,7.71
7.64,483,0.35,5.4,0,56.33,56.33,Public,Bedrock,48.768,492.051476,1059.41,Detect,0.35,698.3,255.29
7.58,399.7,1.74,2.73,18.35,40.83,40.83,Public,Bedrock,99.06,473.126419,130.48,Detect,3.1,150.51,56.71
7.87,225.1,5.22,1.42,0,18.63,18.63,Public,Bedrock,42.672,378.501136,3627.21,Below Limit,0.2,54.74,17.42
8.09,248.5,0.37,3.04,11.8,52.54,56.8,Public,Bedrock,106.68,378.501136,1090.68,Below Limit,0.2,85.07,27.31
7.9,516.6,0.4,3.42,1.91,66.43,71.67,Public,Bedrock,68.58,325.510977,1478.05,Below Limit,0.2,278.95,84.24
6.4,527.8,2.14,2.41,0,29.03,31.36,Public,Bedrock,42.672,264.950795,1945.64,Detect,0.39,221.41,92.23
8.05,199.9,0.42,0,0,0.52,0.52,Public,Bedrock,80.772,246.025738,1049.97,Below Limit,0.2,37.92,13.97
7.66,293.7,0.79,3.55,3.2,36.81,36.81,Public,Bedrock,91.44,227.100681,1346.78,Below Limit,0.2,479.3,282.69
8.08,387.8,0.71,2.86,4.21,62.71,62.71,Public,Bedrock,155.448,227.100681,1379.81,Below Limit,0.2,913.53,393.52
7.28,294,3.33,2.59,1.67,45.22,45.64,Public,Bedrock,60.96,227.100681,891.93,Detect,0.36,352.28,115.77
6.31,165.7,3.07,3.73,0,58.83,60.84,Public,Unconsoli,13.4112,189.250568,1941.97,Below Limit,0.2,554.57,163.11
7.22,1178,0.39,4.57,3.11,42.9,42.92,Public,Bedrock,286.8168,189.250568,996.74,Detect,1.01,199.29,68.72
7.98,240.7,0.34,0,0,0.52,0.99,Public,Bedrock,68.58,170.325511,953.12,Below Limit,0.2,37.92,13.97
8.39,413.5,0.48,2.97,2.2,32.56,32.56,Public,Bedrock,81.6864,158.970477,610.9,Detect,0.33,500.28,200.11
7.84,439.1,5.07,3.11,0,64.88,66.4,Public,Bedrock,100.584,151.400454,1007.11,Detect,1.48,553.21,146.58
6.28,360.3,2.98,2.33,0,27.5,29.67,Public,Bedrock,77.724,151.400454,1978.78,Detect,0.35,221.41,92.23
6.94,428.2,0.36,3.62,3.09,41.16,50.71,Public,Bedrock,121.92,143.830431,335.22,Below Limit,0.2,221.41,92.23
7.47,871.5,0.39,4.62,3.07,43.55,43.55,Public,Bedrock,225.552,140.04542,1006.58,Detect,0.83,199.29,68.72
6.49,287.5,4.77,3.57,14.14,44.61,50.17,Public,Bedrock,53.34,132.475397,264.93,Detect,0.23,99.79,47.59
6.05,78.6,6.93,3.57,0.68,52.62,60.2,Public,Unconsoli,10.668,132.475397,1664.94,Below Limit,0.2,367.48,146.05
6.41,444.2,2.52,3.97,0.85,62.02,62.02,Public,Bedrock,54.864,132.475397,1516.36,Below Limit,0.2,156.85,49.18
8.73,541.3,7.81,5.16,17.11,34.17,41.15,Public,Bedrock,182.88,121.120363,111.42,Detect,0.49,164.3,0
7.22,286.5,0.6,3.28,0,40.78,40.78,Public,Bedrock,45.72,113.550341,367.52,Below Limit,0.2,117.22,0
7.08,1034,6.89,4.22,0,66.89,70.52,Public,Bedrock,79.248,113.550341,1245.9,Below Limit,0.2,1225.49,318.63
7.14,1068,1.23,4.62,0,70.67,74.3,Public,Bedrock,79.248,113.550341,1244.09,Below Limit,0.2,1225.49,318.63
7.45,359.5,1.53,1.36,0,20.66,26.7,Public,Bedrock,42.672,113.550341,2487.94,Below Limit,0.2,269.24,82.93
7.47,359.2,1.53,1.37,0,20.65,26.86,Public,Bedrock,42.672,113.550341,2487.54,Below Limit,0.2,269.24,82.93
7.86,493.9,0.47,4.53,8.92,58.56,66.52,Public,Bedrock,45.72,113.550341,738.61,Detect,4.02,699.43,310.98
8.04,306.1,0.28,3.1,0,48.42,51.4,Public,Bedrock,109.728,113.550341,1729.81,Below Limit,0.2,129.42,56.62
7.64,103.7,6.82,1.8,0,37.22,62.56,Public,Bedrock,45.72,113.550341,3632.06,Below Limit,0.2,143.84,41.95
6.12,395.1,3.22,4.39,0,61.97,66.88,Public,Bedrock,182.88,113.550341,2193.56,Detect,2.97,336.82,129.05
8.56,623.1,0.41,1.88,23.77,30.32,57.13,Public,Bedrock,57.912,113.550341,406.54,Below Limit,0.2,164.56,56.04
7.61,497.7,7.84,1.15,0.16,19.25,21.5,Public,Bedrock,54.864,109.765329,786.84,Below Limit,0.2,176.17,60.91
7.44,144,0.39,2.95,0,40.82,43.1,Public,Bedrock,200.5584,105.980318,405.78,Detect,1.29,314.98,224.98
7.57,1235,1.14,4.11,0,69.45,69.45,Public,Bedrock,91.44,102.195307,1075.11,Detect,2.06,712.04,265.1
5.28,671.2,4.72,1.3,7.44,18.61,18.61,Public,Bedrock,42.672,98.4102952,56.25,Detect,2.92,672.16,339.54
5.34,625.9,4.45,1.3,7.44,18.61,18.61,Public,Bedrock,73.152,98.4102952,51.53,Detect,2.23,672.16,339.54
6.5,287.9,4.18,3.12,0,47.57,48.39,Public,Bedrock,121.92,94.6252839,549.75,Detect,1.5,247.23,0
7.66,114.1,2.74,4.7,0,35.84,35.95,Public,Bedrock,97.536,94.6252839,2861.51,Below Limit,0.2,86,26.41
8.1,200.2,0.72,1.6,0.21,22.95,22.95,Public,Bedrock,97.536,94.6252839,574.59,Detect,0.26,103.03,58.23
7,392.3,0.42,3.71,3.09,41.4,50.07,Public,Bedrock,153.924,94.6252839,330.46,Below Limit,0.2,221.41,92.23
7.97,304.8,0.48,3.14,8.87,26.68,26.68,Public,Bedrock,182.88,94.6252839,391.18,Detect,6.43,141.84,68.93
7.96,318.5,0.36,3.15,8.81,26.61,26.61,Public,Bedrock,182.88,94.6252839,386.26,Detect,3.57,141.84,68.93
7.82,203.5,0.51,5.35,13.02,62.17,70.43,Public,Bedrock,152.4,94.6252839,470.44,Below Limit,0.2,240.15,87.65
8.06,273.1,0.4,1.25,0,22.61,25.19,Public,Bedrock,42.672,90.8402725,2493.96,Below Limit,0.2,83.66,24.52
6.33,420.9,3.32,1.48,4.86,23.02,32.98,Public,Bedrock,48.768,83.2702498,597.65,Below Limit,0.2,51.5,18.27
8.38,562.7,0.55,2,0,30.74,36.45,Public,Bedrock,48.768,83.2702498,2270.32,Below Limit,0.2,158.45,72.98
5.77,37.3,8.31,4.44,0,21.47,21.82,Public,Unconsoli,5.7912,75.7002271,2181.65,Below Limit,0.2,65.12,417.66
6.15,291.4,8.14,3.16,10.8,41.78,52.06,Public,Unconsoli,7.9248,75.7002271,929.21,Below Limit,0.2,93.88,30.29
6.53,221.8,0.39,1.28,0,10.14,23.11,Public,Bedrock,48.768,75.7002271,1084.34,Below Limit,0.2,152.11,45.63
8.22,584.7,4.5,2.26,0,25.59,39.68,Public,Bedrock,152.4,68.1302044,2832.47,Below Limit,0.2,202.03,114.41
7.75,408.8,7.52,2.14,0,23.41,32.28,Public,Bedrock,89.916,64.345193,4147.82,Detect,4.16,178.29,52.88
5.59,906.7,3.61,1.73,4.84,14.95,14.95,Public,Bedrock,76.2,56.7751703,265.08,Detect,0.26,142.96,68.64
8.02,399.3,0.35,1.97,0,22.4,30.36,Public,Bedrock,214.884,56.7751703,1098.26,Below Limit,0.2,89.76,30.77
8.04,238.4,0.46,1.6,0,22.36,23.99,Public,Bedrock,140.208,56.7751703,553.67,Below Limit,0.2,31.78,13.84
7.41,570,1.76,1.66,13.75,32.83,32.83,Public,Bedrock,146.304,56.7751703,911.75,Below Limit,0.2,79.56,28.78
6.65,405.5,0.53,4.41,0,62.01,66.96,Public,Bedrock,134.112,56.7751703,2197.44,Detect,2.21,336.82,129.05
7.87,304.2,1.57,0.07,0,4.54,4.54,Public,Bedrock,129.54,56.7751703,1150.91,Below Limit,0.2,102.33,35.7
6.53,304.8,6.33,0.06,0,0.06,0.06,Public,Bedrock,99.06,45.4201363,3632.12,Detect,0.27,25.85,9.9
7.32,209.5,3.51,0,0,0,0,Public,Bedrock,152.4,41.6351249,2315.74,Detect,3.33,127.54,
6.3,2176,0.41,3.13,0,37.07,37.07,Public,Bedrock,60.96,37.8501136,162.03,Detect,0.39,800.1,373.38
7.81,189.5,8.26,0.71,0,8.24,19.35,Public,Bedrock,79.248,37.8501136,1842.73,Below Limit,0.2,18.76,7.25
7.7,441,1.84,1.42,0,26.59,31.87,Public,Bedrock,91.44,37.8501136,3084.46,Detect,0.72,160.71,79.86
7.49,873.5,0.45,2.62,0,59.66,61.18,Public,Bedrock,77.1144,37.8501136,1114.43,Below Limit,0.2,553.21,146.58
7.59,390.4,2.25,4.23,17.46,41.13,53.45,Public,Bedrock,112.776,37.8501136,782.47,Detect,2.7,134.04,57.45
6.95,532.6,0.41,3.75,0,54.85,54.85,Public,Bedrock,61.5696,37.8501136,626.39,Below Limit,0.2,370.43,166.26
6.58,577.2,3.19,1.45,11.47,17.08,17.99,Public,Bedrock,76.2,37.8501136,1193.43,Below Limit,0.2,63.03,21.01
6.91,293.9,0.44,2.88,8.11,27.61,27.61,Public,Bedrock,152.4,34.0651022,888.77,Detect,0.3,1059.28,437.53
8.17,301.7,1.1,1.57,0,26.54,29.36,Public,Bedrock,152.4,34.0651022,2909.45,Detect,2.14,160.71,79.86
8.96,213.3,0.1,3.22,12.44,22.99,30.56,Public,Bedrock,134.112,34.0651022,2957.61,Below Limit,0.2,34.97,11.77
7.78,352.3,4.79,3.17,8.42,25.58,25.58,Public,Bedrock,182.88,32.1725965,333.35,Detect,2.61,141.84,68.93
7.24,101.3,4.3,2.45,1.96,26.79,31.79,Public,Bedrock,90.5256,30.2800908,604.23,Below Limit,0.2,99.79,47.59
7.7,577.4,0.5,1.42,12.91,17.05,36.81,Public,Bedrock,188.976,30.2800908,599.11,Below Limit,0.2,240.41,67.02
7.27,256.2,7.54,2.19,0,25.1,25.1,Public,Bedrock,160.02,30.2800908,1451.97,Detect,46.2,155.08,74.17
8.81,241.4,0.36,4.72,0,50.4,55.44,Public,Bedrock,70.104,26.4950795,1272.95,Below Limit,0.2,471.21,178.3
8.05,399.2,0.35,4.94,36.42,70.03,70.03,Public,Bedrock,76.2,26.4950795,254.57,Detect,48.1,467.61,160.59
7.66,1019,0.43,2.44,7.22,60.58,62.01,Public,Bedrock,80.1624,26.4950795,916.83,Detect,0.96,332.67,163.41
7.3,426.7,0.59,4.99,9.2,29.02,35.93,Public,Bedrock,121.92,24.6025738,141.77,Below Limit,0.2,65.12,0
8.12,234.8,0.53,1.2,0,18.59,29.22,Public,Bedrock,91.44,22.7100681,716.44,Below Limit,0.2,31.78,13.84
7.4,418.3,7.33,2.26,0,23.68,32.55,Public,Bedrock,132.588,22.7100681,4156.63,Detect,4.34,178.29,52.88
8.21,238.6,0.43,1.34,0,21.47,27.16,Public,Bedrock,60.3504,18.9250568,723.89,Below Limit,0.2,132.18,44.43
8.12,161.2,0.49,1.77,11.35,32.64,32.64,Public,Bedrock,152.4,18.9250568,270.91,Below Limit,0.2,39.59,14.79
7.53,447.6,0.32,2.72,18.79,40.13,40.13,Public,Bedrock,121.92,18.9250568,65.93,Detect,15.61,150.51,56.71
7.45,1192,0.17,4.33,21.36,35.89,51.75,Public,Bedrock,152.4,18.9250568,142.26,Detect,32.8,74.74,26.03
8.31,208.5,0.59,3.8,0,52.14,55.38,Public,Bedrock,91.44,11.3550341,1703.94,Below Limit,0.2,706.51,297.05
6.4,152.2,2.73,3.28,10.96,32.76,32.76,Public,Bedrock,38.1,11.3550341,539.56,Below Limit,0.2,58.38,18.36
7.34,522.7,0.53,3.99,15.26,60.1,60.1,Public,Bedrock,310.896,7.57002271,1292.41,Detect,10.6,479.3,282.69
7.28,308.2,3.25,2.85,0,45.7,56.57,Public,Bedrock,68.58,7.57002271,3066.18,Below Limit,0.2,306.26,103.73
7.86,301.2,0.37,1.37,0,22.42,48.69,Public,Bedrock,44.8056,,1812.88,Below Limit,0.2,67.02,25.37
7.37,182.5,0.63,0.59,0,9.46,9.46,Public,Bedrock,47.8536,,4651.51,Below Limit,0.2,3.09,1.33
7.39,245.4,1,0,0,5.33,5.33,Public,Bedrock,46.0248,,5239.42,Below Limit,0.2,3.09,1.33
8.15,194.1,1.3,1.63,0,35.57,50.02,Public,Bedrock,,,1694.76,Below Limit,0.2,71.87,23.5
7.35,531.4,5.7,1.35,0,13.51,31.6,Public,Unconsoli,15.24,,2935.85,Detect,0.72,63.76,20.5
8.07,272.3,0.5,1.64,0,13.53,66.28,Public,Bedrock,43.8912,,1963.71,Below Limit,0.2,12.98,6.49
7.62,579.6,2.57,2.5,0,25.85,32.34,Public,Bedrock,45.72,,1307.4,Detect,0.37,136.41,0
6.02,391.9,6.07,3.28,9.97,48.41,55.81,Public,Unconsoli,13.716,,1079.9,Below Limit,0.2,93.88,30.29
7.6,291.8,2.09,1.82,0,21.75,27.26,Public,Bedrock,,,531.89,Below Limit,0.2,17.45,0
8.32,547.1,0.35,1.35,0,16.03,16.03,Public,Bedrock,61.8744,,3909.57,Below Limit,0.2,61.54,20.78
6.04,1227,4.4,1.94,1.28,20.59,20.59,Public,Bedrock,86.868,,58.88,Detect,0.84,103.03,58.23
9.03,414.6,0.41,3.19,3.66,40.65,57.37,Public,Bedrock,,,3066.65,Below Limit,0.2,230.57,81.59
5.43,165.3,2.53,2.46,0,19.63,19.63,Public,Unconsoli,,,1039.99,Detect,0.34,101.64,29.04
7.3,513,1.88,3.05,0,41.03,41.03,Public,Unconsoli,,,953.94,Detect,0.24,17.71,7.38
5.85,741.7,5.29,3.72,0,52.79,56.03,Public,Unconsoli,9.144,,1746.12,Detect,0.33,217.39,84.15
